"","id","state","period","nth","date","url"
"154","bb_4_80","bb",4,80,2009-01-22,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/80.pdf"
"155","bb_4_81","bb",4,81,2009-02-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/81.pdf"
"156","bb_4_82","bb",4,82,2009-02-26,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/82.pdf"
"157","bb_4_83","bb",4,83,2009-04-01,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/83.pdf"
"158","bb_4_84","bb",4,84,2009-04-02,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/84.pdf"
"159","bb_4_85","bb",4,85,2009-05-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/85.pdf"
"160","bb_4_86","bb",4,86,2009-05-14,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/86.pdf"
"161","bb_4_87","bb",4,87,2009-07-01,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/87.pdf"
"162","bb_4_88","bb",4,88,2009-07-02,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/88.pdf"
"163","bb_4_9","bb",4,9,2005-01-20,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/9.pdf"
"164","bb_5_1","bb",5,1,2009-10-21,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/1.pdf"
"165","bb_5_10","bb",5,10,2010-02-24,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/10.pdf"
"166","bb_5_11","bb",5,11,2010-02-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/11.pdf"
"167","bb_5_12","bb",5,12,2010-03-24,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/12.pdf"
"168","bb_5_13","bb",5,13,2010-03-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/13.pdf"
"169","bb_5_14","bb",5,14,2010-05-06,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/14teil2.pdf"
"170","bb_5_15","bb",5,15,2010-05-07,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/15.pdf"
"171","bb_5_16","bb",5,16,2010-06-02,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/16.pdf"
"172","bb_5_17","bb",5,17,2010-06-03,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/17.pdf"
"173","bb_5_18","bb",5,18,2010-07-01,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/18.pdf"
"174","bb_5_19","bb",5,19,2010-07-02,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/19.pdf"
"175","bb_5_20","bb",5,20,2010-09-08,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/20.pdf"
"176","bb_5_21","bb",5,21,2010-09-09,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/21.pdf"
"177","bb_5_22","bb",5,22,2010-10-06,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/22.pdf"
"178","bb_5_23","bb",5,23,2010-10-07,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/23.pdf"
"179","bb_5_24","bb",5,24,2010-11-10,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/24.pdf"
"180","bb_5_25","bb",5,25,2010-11-11,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/25.pdf"
"181","bb_5_26","bb",5,26,2010-12-15,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w5/plpr/26.pdf"
