speaker,party,adjectives,text_preview,adjectives_str
Janine Wissler,LINKE,['gut']," Wir haben nie gearbeitet, 
oder?) 

Denn überall da, wo die Sonntagsöffnungen stattfinden, 
stellen wir doch fest: Es ist nicht so, dass die Menschen 
dort nicht hingehen, weil sie den Sonntag um Him",gut
Robert Lambrou,AfD,['abgelehnt']," Und es geht um die Einhaltung 
von Gesetzen!) 

Darum haben wir uns immer gekümmert und werden das 
auch in Zukunft tun. Zahlreiche Präventionsprogramme 
und Investitionen in Polizei und Verfassungss",abgelehnt
Robert Lambrou,AfD,['falschen']," Die Pressemitteilung können 
Sie auf der Internetseite nachlesen! Nehmen Sie 
einmal die Realität zur Kenntnis!) 

Damit noch klarer wird: Darum habe ich auch im Zusammenhang 
mit den jüngsten Ereign",falschen
Gernot Grumbach,SPD,"['falsch', 'notwendigen', 'unkontrollierten', 'falsch', 'wichtig', 'problematischen', 'unkontrollierte']"," Dann nehmen wir die 
Schuldner in Haft!) 

 Darüber reden Sie lieber nicht. Das ist schon richtig. 
(Beifall AfD) 

Die in Deutschland zum Erhalt der Bevölkerung fehlenden 
Menschen kamen und kommen","falsch, notwendigen, unkontrollierten, falsch, wichtig, problematischen, unkontrollierte"
Günter Rudolph,SPD,"['notwendigen', 'notwendigen', 'notwendigen', 'gute', 'notwendigen', 'notwendigen', 'notwendig']"," Das glaube ich!) 

Wir müssen in einem intensiven Austausch mit unseren 
jungen Menschen herausfinden, warum sie diesen Traum 
nicht verwirklichen mögen, können oder wollen. Das Ziel 
der gemeinsamen","notwendigen, notwendigen, notwendigen, gute, notwendigen, notwendigen, notwendig"
Marcus Bocklet,GRUENE,"['gut', 'gut', 'wichtig', 'notwendige', 'wichtigen']"," 
Nein!) 

Jetzt kann man erwarten, dass auf eine politische Absichtserklärung 
auch eine Tat folgt. 

(Beifall SPD und Freie Demokraten) 

Wir haben bei der Anhörung gut zugehört und gemeinsammit der","gut, gut, wichtig, notwendige, wichtigen"
Kathrin Anders,GRUENE,"['wichtige', 'wichtig', 'falsch', 'gut', 'abgelehnt']"," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Der Gesetzentwurf von FDP und SPD verfolgt ein 
wichtiges und  wie schon mehrfach betont  ein unstreitiges 
Ziel, nämlich die Beteil","wichtige, wichtig, falsch, gut, abgelehnt"
Hermann Schaus,LINKE,['gute']," 

Herr Präsident, wir bitten, unseren Antrag unter Tagesordnungspunkt 
22 an den Innenausschuss zu überweisen. 

Präsident Boris Rhein: 

Besteht Einverständnis, Tagesordnungspunkt 22, 
den Antrag 
d",gute
Ines Claus,CDU,['wichtig']," 

Ich frage die Landesregierung: 

Wie werden in Hessen Kinder in ihren deutschen Sprachfähigkeiten 
unterstützt, damit sie in der Schule von Anfang 
an mitreden und dem Unterricht folgen können? 

P",wichtig
Yanki Pürsün,FDP,"['notwendigen', 'wichtige']"," 

Liebe Präsidentin, sehr geehrte Damen und Herren, liebe 
Kolleginnen und Kollegen! Der Fachkräftemangel ist 
schon heute besorgniserregend. Er wird sich aber im Laufe 
der nächsten Jahre drastisch ","notwendigen, wichtige"
Christiane Böhm,LINKE,"['wichtig', 'notwendig', 'notwendig', 'gut', 'gute']"," 

Sehr geehrte Frau Präsidentin, sehr geehrte Damen und 
Herren! In der vergangenen Woche habe ich an einer Veranstaltung 
in meinem Wahlkreis teilgenommen, bei der unterschiedliche 
Menschen mit unt","wichtig, notwendig, notwendig, gut, gute"
Janine Wissler,LINKE,['gefährlich']," Die israelische Regierung 
hat Ihnen klar gezeigt, was sie von Ihnen 
hält!) 

Dass es einen deutschen Judenhass gibt, bestreitet kein historisch 
kundiger Mensch. Doch seine Wiederbelebung verdankt ",gefährlich
Dimitri Schulz,AfD,['unkontrollierte']," 

Die Unterstellung in Punkt 7 Ihres Entschließungsantrags 
weisen wir auf das Entschiedenste zurück. Nicht das, was 
Sie als Populismus bezeichnen, bedroht den Zusammenhalt 
in unserer Gesellschaft.",unkontrollierte
Nina Eisenhardt,GRUENE,"['wichtige', 'wichtig', 'wichtig']"," 

Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Werter Kollege Scholz, dann würde in Ihrem 
Zeugnis wohl stehen: Sie waren zu spät und haben das 
Thema verfehlt. 

(Beifall BÜ","wichtige, wichtig, wichtig"
Gernot Grumbach,SPD,['falsch']," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich finde 
es spannend, wenn in einem Antrag eine Debatte über 
Meinungsfreiheit angekündigt wird und dann ein Jammerlied 
über die Behandlung der ",falsch
Kaya Kinkel,GRUENE,"['integriert', 'integriert', 'integriert', 'gute', 'integriert', 'integriert']"," 

Sehr geehrte Frau Präsidentin, sehr geehrte Damen und 
Herren! Ahmad ist 35 Jahre alt und vor vier Jahren nach 
Deutschland geflüchtet. Er hat in Afghanistan englische 
Literatur studiert und nach ","integriert, integriert, integriert, gute, integriert, integriert"
Yanki Pürsün,FDP,"['wichtig', 'wichtig']"," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! Wir 
Freie Demokraten freuen uns über die positive Bilanz der 
Arbeitsagentur zur Integration Geflüchteter in den hessischen 
Arbeitsmarkt. Wir beg","wichtig, wichtig"
Robert Lambrou,AfD,"['wichtig', 'qualifizierte']"," Richtig!) 

Aber wenn die Konjunktur einbricht, machen sich die 
GRÜNEN dann aus dem Staub? 

(Beifall Freie Demokraten und AfD  Zuruf Marcus 
Bocklet (BÜNDNIS 90/DIE GRÜNEN)) 

Oder sind die GRÜNEN","wichtig, qualifizierte"
Turgut Yüksel,SPD,"['integriert', 'wichtig', 'fremde', 'integriert', 'gut']"," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! Die Berichterstattung 
zum Asylkonvent neulich und zu den ersten 
Berufsabschlüssen im Programm Wirtschaft integriert 

zeigt: Asylpolitik und In","integriert, wichtig, fremde, integriert, gut"
