speaker,party,adjectives,text_preview,adjectives_str
Robert Lambrou,AfD,"['wichtig', 'falsche']"," 

Sehr geehrte Frau Präsidentin, sehr geehrter Herr Generalkonsul, 
sehr geehrte Damen und Herren! Über die verheerenden 
Erdbeben und deren Auswirkungen in der Türkei 
und in Syrien sind auch wir in","wichtig, falsche"
Saadet Sönmez,LINKE,"['gute', 'notwendig']"," 

Herr Präsident, meine Damen und Herren! 2022 haben so 
viele Schutz suchende Menschen Deutschland und Hessen 
erreicht wie noch nie. Ich spreche hier ausdrücklich von 
Schutz suchenden Menschen u","gute, notwendig"
Elisabeth Kula,LINKE,['sicher']," Nein, das ist ein konkreter 
Vorschlag!) 

Alleine 80.000 Geflüchtete aus der Ukraine sind im letzten 
Jahr in Hessen aufgenommen worden, und zwar wegen 
des russischen Angriffskrieges. Meine lieben ",sicher
Elisabeth Kula,LINKE,['sicher']," Nein, das machen Sie!) 
Es fehlt also nicht nur an den Vorschlägen für Erstaufnahmeeinrichtungen, 
es fehlt natürlich auch am Geld. Auch 
hier ist es wiederum klar, dass die Ampelkoalition in Berlin ",sicher
Jan Schalauske,LINKE,"['falsche', 'gut']"," Das hat die schwarz-
grüne Mehrheit hier eingebracht! Das ist die Gesetzeslage 
in Hessen!) 

Fantastische linke Welt: Man betreibt einfach weiter eine 
völlig falsche und fehlgeleitete Flüchtlingspo","falsche, gut"
Eva Goldbach,GRUENE,"['gut', 'wichtig', 'wichtig']"," 

Sehr geehrter Herr Präsident, verehrte Kolleginnen und 
Kollegen! Der Gesetzentwurf der LINKEN ist sicherlich 
gut gemeint. Das möchte ich nicht abstreiten. Aber er nützt 
nichts. 

Warum ist das s","gut, wichtig, wichtig"
Frank Grobe,AfD,"['gut', 'integriert']"," Die haben sich gut integriert!) 

denn sie waren immer mit dem Vorwurf konfrontiert, eigentlich 
Russen zu sein. Sie waren hier mit Vorurteilen 
konfrontiert, mit denen sie klarkommen mussten. Aber 
","gut, integriert"
Elisabeth Kula,LINKE,"['gut', 'wichtig']"," Also doch Zelte!) 

Von daher finde ich es gut, dass am Donnerstag ein Flüchtlingsgipfel 
stattfinden wird, an dem auch unser Innenminister 
und unser Integrationsminister teilnehmen werden. 
Ich hof","gut, wichtig"
"Robert 
Lambrou",AfD,"['humanitären', 'gute']"," Und wenn das uns als Gesellschaft 
überfordert? Was machen Sie dann?) 

Vizepräsident Dr. Ulrich Wilken: 

Frau Goldbach, danke.  Für die Landesregierung erteile 
ich Herrn Staatsminister Beuth das ","humanitären, gute"
Felix Martin,GRUENE,"['gute', 'wichtige']"," 

Ich frage die Landesregierung: 

Welche Projekte fördert das Land im Zusammenhang mit 
der Umsetzung der UNAIDS-Ziele im laufenden Jahr? 

Antwort Kai Klose, Minister für Soziales und Integration: ","gute, wichtige"
Frank Grobe,AfD,"['wichtige', 'sicher', 'gut', 'gute', 'gute']"," Kriegsfähig? Das ist unmöglich!) 

unser Land wieder aufzurüsten und wieder in die Lage 
zu versetzen, die Bündnispflichten einzuhalten, und uns in 
einem Krieg zu engagieren, indem wir ein Land unte","wichtige, sicher, gut, gute, gute"
Elke Barth,SPD,"['sicher', 'straffällig', 'ausreisepflichtigen']"," Da haben wir Ihr Feindbild endlich 
wieder!) 

Solange mehr Menschen in das Land hineinströmen, als 
es vertragen kann, wird das Problem der Wohnungsknappheit 
nicht schwinden. Das ist einfache Mathe","sicher, straffällig, ausreisepflichtigen"
Volker Richter,AfD,['notwendige']," 

Sehr verehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Die Kollegen wissen schon, was kommt. Aus 
dem Grunde ist die Unruhe auch durchaus verständlich. 

(Vereinzelter Beifall AfD) ",notwendige
Frank Grobe,AfD,"['gut', 'wichtigen']"," Haben Sie eigentlich einmal 
zugehört?) 

Ich muss jetzt leider feststellen: Die Debatte ist jetzt genau 
an dem Punkt angekommen, den wir befürchtet haben, 
nämlich, wo es nur noch darum geht, zu be","gut, wichtigen"
Andreas Lichert,AfD,['gut']," Sie können dabei gut verlieren!) 

Die Flüchtlinge werden dabei verlieren, und alle demokratischen 
Parteien werden dabei verlieren. Lassen Sie uns 
diesen Fehler bitte nicht machen, meine Damen und ",gut
Frank Grobe,AfD,"['notwendige', 'notwendige', 'wichtig', 'guten']"," Doch! Wir können sie lösen!) 

 Sie wollen das gar nicht lösen; denn es ist Ihr Motto, mit 
dem Sie Ihre Politik machen, dass alles, was ein Problem 
ist, ein Geflüchtetenproblem ist. Darum geht es ","notwendige, notwendige, wichtig, guten"
Uwe Hahn,FDP,"['falsch', 'gut', 'gut', 'gut']"," Seligenstadt!) 

 Seligenstadt, ja. 
René Rock (Freie Demokraten): 

Herr Präsident, sehr geehrte Damen und Herren! Lieber 
Finanzminister, an drei Punkten muss ich mit Ihrer Wahrnehmung, 
die Sie h","falsch, gut, gut, gut"
Robert Lambrou,AfD,"['gut', 'integriert']"," Es kommen seit Jahren 
Millionen! Warum haben wir überhaupt noch einen 
Fachkräftemangel?) 

Dann schauen wir uns doch einmal systematisch an, ob 
wir den Menschen, die sehr lange hier leben und gut ","gut, integriert"
Robert Lambrou,AfD,"['guten', 'illegale', 'ausreisepflichtig', 'illegale', 'illegale', 'notwendig']"," 

Sehr geehrter Herr Präsident, sehr verehrte Damen und 
Herren! Heute findet in Berlin aus guten Gründen der 
sogenannte Flüchtlingsgipfel statt, obwohl es eigentlich 
überwiegend um Sozialmigranten","guten, illegale, ausreisepflichtig, illegale, illegale, notwendig"
Thomas Hering,CDU,"['ausreisepflichtige', 'ausreisepflichtige', 'gut']"," 

Herr Präsident, beides. Es ist Ihnen gelungen. Wie Sie 
sehen, bin ich schon da. 

Sehr geehrter Herr Präsident, sehr geehrte Kolleginnen und 
Kollegen, liebe Zuschauer! Das ist ein Erdbeben, das d","ausreisepflichtige, ausreisepflichtige, gut"
Tobias Utter,CDU,"['sicher', 'sicher', 'sicher']"," Die wissen doch ohnehin 
schon alles!) 

Es gibt derzeit keinen Abschiebestopp der Bundesregierung 
in die Türkei, da weite Landesteile eben nicht vom 
Erdbeben betroffen sind; das hat auch der Kolle","sicher, sicher, sicher"
Christiane Böhm,LINKE,['ausreisepflichtigen']," Am Montag sollte 
jemand abgeschoben werden!) 

 Ich spreche gerade vom Dienstag. Am Dienstag wurde 
hier gesagt  es hätte deutlicher beschrieben werden können; 
das ist aber ein anderes Thema , a",ausreisepflichtigen
Elisabeth Kula,LINKE,"['gut', 'gute']"," In so einem reichen Land!) 

Die Armutsrisikoquote in Hessen lag laut diesem Bericht 
2020 bei 17,9 %. 2021 zeigt uns der Armutsbericht der 
Parität, dass es schon 18,3 % sind. 

Das Schlimme ist, es","gut, gute"
Ulrike Alex,SPD,['gut']," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! Da Sozialminister 
Klose heute nicht dabei sein kann, weil er 
beim Flüchtlingsgipfel ist, werde ich mit einem Zitat von 
ihm anfangen. Unter der Ü",gut
Stephan Grüger,SPD,"['gut', 'falsch']"," Was? Hört, hört!) 

Meine Frage: Woran liegt das? Es liegt vielleicht daran, 
dass Ihnen diese Menschen so fern sind. Dazu werde ich 
gleich auch noch etwas sagen. Falls Sie dem Bund die Verantwortun","gut, falsch"
Tobias Eckert,SPD,"['wichtigen', 'gute']"," Ganz viele!) 

Wir haben aber auch vieles schon gehört, was aus den 
Diskussionen der letzten Wochen wiederholt worden ist. 
Es ist schon so, dass einerseits gerade die Bürgerinitiativen 
sehr deutli","wichtigen, gute"
Frank Grobe,AfD,"['wichtige', 'abgelehnt']"," Was?) 

Ihnen geht es um einen Aufschlag, um einen Aufschlag 
nach 20 Uhr im Landtag. Ihnen geht es überhaupt nicht 
um wissenschaftliche Erkenntnisse. Wenn es Ihnen um Erkenntnisse 
ginge, dann könn","wichtige, abgelehnt"
Alexander Bauer,CDU,['wichtigen']," 

Herr Minister, in welcher Form unterstützt das Land Hessen 
die Kommunen in dieser wichtigen Frage? 

Präsidentin Astrid Wallmann: 

Herr Staatsminister, Sie haben das Wort. 

Peter Beuth, Minister",wichtigen
Volker Richter,AfD,"['qualifizierte', 'qualifiziert', 'gute', 'gescheitert']"," 

Sehr verehrte Frau Präsidentin, meine sehr verehrten Damen 
und Herren! Bei der Anhörung zum Gesetzentwurf 
der Landesregierung zur Verbesserung der Integration und 
Teilhabe und zur Gestaltung des","qualifizierte, qualifiziert, gute, gescheitert"
Claudia Ravensburg,CDU,"['wichtig', 'notwendig', 'wichtig']"," 

Sehr geehrte Frau Präsidentin, sehr geehrte Damen und 
Herren! Mit dem Gesetz zur Integration und Teilhabe wollen 
wir insbesondere die neu in unser Land kommenden 
Menschen unterstützen und der wa","wichtig, notwendig, wichtig"
Marcus Bocklet,GRUENE,"['sicher', 'gut', 'wichtig', 'gut']"," 

Frau Präsidentin, meine sehr geehrten Kolleginnen und 
Kollegen! Wenn ich es richtig interpretiere, liegt nach der 
Tagesordnung nur noch meine Rede bis zum Feierabend. 
Da es die zweite Lesung ist","sicher, gut, wichtig, gut"
Elisabeth Kula,LINKE,['gut']," AfD! Zur AfD 
schauen!) 

zum Thema Wertschätzung  als sogenannte Männerberufe. 
Sie werden tendenziell auch schlechter bezahlt. Das zu 
ändern, ist eben wahre Gleichstellungspolitik. 

(Beifall Fre",gut
Christoph Degen,SPD,"['wichtige', 'wichtigen']"," Gesamtschulen 
sind das da!) 

Wir leben in einer Zeit einer abklingenden Corona-Pandemie, 
in einer Zeit eines andauernden Krieges mit all 
seinen schrecklichen Auswirkungen wie Tod und Flucht, 
wov","wichtige, wichtigen"
Erich Vohl,AfD,"['gute', 'gut', 'guten', 'gute', 'gute', 'gute', 'gute']"," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und 
Herren Abgeordnete! Zunächst möchte ich mich für die 
Vorstellung des Petitionsberichtes 2022 bei unserem Ausschussvorsitzenden, 
Herrn Oliver ","gute, gut, guten, gute, gute, gute, gute"
Elke Barth,SPD,"['gute', 'wichtigen', 'wichtig', 'wichtige', 'gute']"," 

Herr Präsident, meine Damen und Herren! Auch im vergangenen 
Jahr wurden wieder über 1.000 Petitionen an 
den Hessischen Landtag gerichtet. Darüber, wie die von 
uns abgeschlossenen Petitionen ents","gute, wichtigen, wichtig, wichtige, gute"
Günter Rudolph,SPD,"['gute', 'abgelehnt']"," Und wir brauchen die AfD 
nicht!) 

 Herr Rudolph, hören Sie zu, und lernen Sie. 
(Zurufe SPD) 

Auch braucht es keinen Antrag der SPD, um zu erkennen, 
dass es der Maßnahmen zur Fachkräftegewinnung","gute, abgelehnt"
Daniela Sommer,SPD,"['abgelehnt', 'wichtige', 'integriert']"," Sie haben doch unsere 
Anträge abgelehnt!) 

Wir handeln, und unser Handeln trägt auch Früchte. Das 
wirksamste Mittel gegen Überforderung in der Pflege ist 
ausreichendes Fachpersonal. Das haben heu","abgelehnt, wichtige, integriert"
Robert Lambrou,AfD,['radikalen']," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und Herren! 
Am 9. März sagte der Hessische Ministerpräsident 
Boris Rhein in der Zeitung Tagesspiegel  Zitat : 

Ich möchte keinen Flüchtlingsw",radikalen
"Gegenruf 
Jürgen Frömmrich",GRUENE,['unkontrolliert']," 
Er ist noch gar nicht weg!) 

wenn nicht immer mehr Migranten völlig unkontrolliert 
kommen würden. 

(Beifall AfD  Zuruf Günter Rudolph (SPD)  Weitere 
Zurufe  Glockenzeichen) 

Der Herr Ministe",unkontrolliert
Jürgen Frömmrich,GRUENE,['ausreisepflichtigen']," 
Natürlich!  Weitere Zurufe) 

Er zieht es vor, sich der Debatte nicht zu stellen. 

(Beifall AfD) 

Das sagt auch schon viel aus.  Von der Rückführung 
der bundesweit etwa 300.000 und in Hessen kn",ausreisepflichtigen
Manfred Pentz,CDU,['unkontrollierte']," Nur die Ausländer!  Weitere 
Zurufe) 

weil es hier die höchsten Sozialleistungen gibt. 

(Beifall AfD) 

Wir kritisieren die Politiker, die diese völlig unkontrollierte 
Masseneinwanderung seit 201",unkontrollierte
Saadet Sönmez,LINKE,['humanitäre']," Wir hören Ihnen zu, 
Herr Pürsün!) 

Besonders bedroht sahen und sehen wir neben den afghanischen 
Ortskräften auch Frauen und Kinder. Für uns Freie 
Demokraten ist es eine humanitäre Pflicht, Mensch",humanitäre
Robert Lambrou,AfD,['wichtig']," Die Deutsche Polizeigewerkschaft 
sagt, es kommen in den nächsten Monaten 
noch wesentlich mehr Menschen!  Glockenzeichen) 

Ich kann Ihnen nur sagen, dass hier ein Maßnahmenbündel 
erforderlich ist",wichtig
Robert Lambrou,AfD,"['humanitären', 'gut', 'schutzbedürftige']"," Ja, das bestreitet niemand! 
Das ist etwas anderes!) 

hier Schutz und Zuflucht aus humanitären Gesichtspunkten 
finden können. 

(Zuruf Robert Lambrou (AfD)  Gegenruf JürgenFrömmrich (BÜNDNIS 90/DI","humanitären, gut, schutzbedürftige"
Jan Schalauske,LINKE,['guten']," Brandstifter 
rufen die Feuerwehr!) 

Im Schnitt wurden zudem täglich drei Asylantragsstellerauf der Straße angegriffen. Ihre irreführenden Äußerungen 
in diesem Parlament werden mit Sicherheit nicht",guten
Thomas Hering,CDU,['humanitären']," 

Sehr geehrter Herr Präsident, sehr geehrte Kolleginnen und 
Kollegen, meine Damen und Herren auf der Besuchertribüne! 

Den Zuzug von Migrantinnen und Migranten und 
Flüchtlingen sehen wir im Licht",humanitären
Robert Lambrou,AfD,"['falsch', 'humanitären', 'wichtig', 'sicher', 'wichtig']"," Das Programm enthält 
Pullfaktoren!) 

Sie erzeugen auf dem Rücken der Schwächsten Stimmung 
gegen eine Regierung, die ihrer Verantwortung Rechnung 
trägt. Das ist billiges, kleinkariertes Parteikaro","falsch, humanitären, wichtig, sicher, wichtig"
Elisabeth Kula,LINKE,['wichtigen']," Ja, 
und die Ausländer sind das Problem!) 

Jens Deutschendorf, Staatssekretär im Ministerium für 
Wirtschaft, Energie, Verkehr und Wohnen: 

Sehr geehrter Herr Präsident, meine sehr geehrten Damen 
",wichtigen
Andreas Lichert,AfD,"['gut', 'falsch']"," 

Herr Präsident, meine Damen und Herren, verehrte Abgeordnete! 
Es muss einfach wieder einmal sein. 1984: 
Krieg ist Frieden, Freiheit ist Sklaverei, und Ignoranz ist 
Stärke.  Das haben wir hier","gut, falsch"
Volker Richter,AfD,"['wichtigen', 'falsche', 'qualifizierte', 'massenhaft']"," 

Sehr verehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Im Sommer dieses Jahres diskutierten wir den 
Armutsbericht des Paritätischen Wohlfahrtsverbandes, und 
Staatsminister Klose b","wichtigen, falsche, qualifizierte, massenhaft"
Marcus Bocklet,GRUENE,"['gute', 'guten', 'gut', 'gut']"," 

Frau Präsidentin, meine sehr verehrten Damen und Herren! 
Der Antrag und die Debatte der AfD haben im Kern zwei 
Bereiche: 

Das eine ist ein wirtschaftspolitischer Bereich, die Frage 
des Zustande","gute, guten, gut, gut"
Elisabeth Kula,LINKE,['wichtige']," 

Ich frage die Landesregierung: 

Wie bewertet sie den Zwischenruf des Bundesjugendkuratoriums 
mit der Forderung nach einem Nachhaltigkeitsforum 
zu jungen Geflüchteten, angesichts der Versorgungse",wichtige
Robert Lambrou,AfD,['gut']," Ihre Bürgermeister wollen 
aber weniger Flüchtlinge!) 

Wir leben in Hessen in keiner Glaskugel. Aus diesem 
Grund werden wir dafür Sorge tragen, dass Hessen seinen 
Teil dazu beiträgt, enger in Euro",gut
Volker Richter,AfD,"['guten', 'wichtigen']"," So ist das!) 

Auch die Lethargie der Bundesregierung im EU-Rat und 
in den Ministerräten löst Irritationen aus. So viel Überzeugungsarbeit 
kann Hessen gegenüber unseren Partnerregionen 
gar nicht l","guten, wichtigen"
Tobias Utter,CDU,"['gute', 'gute']"," 

Sehr geehrte Frau Präsidentin, sehr geehrte Damen und 
Herren! Mit der heutigen Regierungserklärung setzt die 
Landesregierung eine gute Tradition fort, die schon andere 
Europaminister begonnen ha","gute, gute"
Oliver Ulloth,SPD,['qualifiziert']," Wir brauchen ein Einwanderungsgesetz!) 

Jetzt sind wir bei der Einwanderung. Auch darauf gehen 
wir sehr gerne ein. Wir besprechen das morgen. Das ist 
eines der Argumente, das überhaupt nicht zieht",qualifiziert
Frank Grobe,AfD,"['notwendig', 'notwendig', 'gute', 'gute', 'gute']"," Kapitalismus! Das geht aber 
gar nicht!) 

 Nein, das geht gar nicht, in der Tat.  Dann wird gefordert, 
dass der öffentliche Dienst attraktiver wird. Auch das 
ist goldrichtig. Er soll attraktiver","notwendig, notwendig, gute, gute, gute"
Felix Martin,GRUENE,"['gut', 'gute', 'integriert', 'integriert', 'integriert', 'qualifizierte']"," 

Frau Präsidentin, meine Damen und Herren! Die Arbeitswelt 
der Zukunft ist für mich eine solidarische, in der wir 
aufeinander achtgeben, in der Arbeit nicht bloß dem Broterwerb 
dient, sondern in ","gut, gute, integriert, integriert, integriert, qualifizierte"
Stefan Naas,FDP,['sicher']," Ja!) 

In den kommenden Jahren suchen mit dem Renteneintritt 
der Babyboomer Tausende kleine und mittelständische Unternehmen 
eine Nachfolge. Die Übernahme eines Unternehmens 
ist eine klassische Fo",sicher
Tobias Eckert,SPD,"['notwendigen', 'qualifizierte', 'gut', 'wichtig']"," Nicht nur da!) 

Beim Thema Finanzplatz ist diese Landesregierung vor allem 
dadurch aufgefallen, dass sie dafür verantwortlich ist, 
dass bei der Bundesbank seit Jahresbeginn ein wichtiger 
Vorstand","notwendigen, qualifizierte, gut, wichtig"
Stephan Grüger,SPD,"['wichtig', 'wichtig', 'wichtig', 'wichtig', 'wichtig', 'wichtig', 'guten']"," Hört, hört!  
Zuruf Dr. Frank Grobe (AfD)) 

Wir setzen uns weiter für das aktive Wahlrecht in Hessen 
ein, und wir machen heute einen weiteren Vorschlag. Wir 
wollen, dass Kinder- und Jugendbeteili","wichtig, wichtig, wichtig, wichtig, wichtig, wichtig, guten"
"Tobias 
Eckert",SPD,"['gut', 'gut', 'gut']"," Gerne!) 

Das ist euer Verdienst. Über einige der hierin enthaltenen 
Baustellen haben wir auch in der Vergangenheit hier im 
Haus schon lang und breit diskutiert. Deshalb möchte ich 
an der Stelle z","gut, gut, gut"
Turgut Yüksel,SPD,"['falsche', 'wichtigen']"," Sie reden ja auch!) 

Wenn Sie schon über falsche Zeichen reden, müssen wir 
Ihnen sagen, dass diese in Ihrem Gesetzentwurf zu finden 
sind. 

(Beifall AfD) 

Jedem hier in Deutschland lebenden Auslä","falsche, wichtigen"
Lisa Gnadl,SPD,['gut']," So?) 

 Ich glaube, auch in Ihrer Heimatgemeinde, Frau Gnadl, 
haben Sie eine Integrationskommission eingerichtet.  Das 
Instrument, dass ausländische Mitbürger partizipieren können, 
ist geradezu ",gut
Jan Schalauske,LINKE,"['gut', 'sicher']"," Nur leider nicht im 
Abstimmungsverhalten!) 

denn wir legen besonderes Augenmerk darauf, dass Kinder 
und Jugendliche ihre Bedürfnisse und Interessen selbst 
formulieren können sowie in Entscheidung","gut, sicher"
Yanki Pürsün,FDP,"['sichere', 'sichere']"," 

Herr Präsident, liebe Kolleginnen und Kollegen! Wir Freie 
Demokraten wollen heute die Aufmerksamkeit auf ein 
wichtiges Thema lenken. Die Zahl der Asylanträge in 
Deutschland steigt wieder. Es ist","sichere, sichere"
Elisabeth Kula,LINKE,"['legale', 'gut']"," Es ist ein Individualrecht!) 

Wer wollte etwas dagegen haben? Nichts spricht dagegen. 
Ein deutliches Signal ist sinnvoll, dass chancenlose Asylanträge 
keine Perspektive sind. Es stärkt auch das Ve","legale, gut"
Saadet Sönmez,LINKE,['sicher']," Doch, genau das bedeutet 
es!) 

Es bedeutet vielmehr, dass wir die Situation in diesen Ländern 
als grundsätzlich sicher einschätzen und die Beweislast 
umgekehrt wird. 

(Beifall Freie Demokraten ",sicher
Saadet Sönmez,LINKE,['gut']," 

Danke sehr, Herr Präsident.  Es hat sich leider eine Front 
gebildet, die sich schon längst vom Menschenrecht auf 
Asyl verabschiedet hat, meine Damen und Herren. Es sollen 
nicht mehr Menschen, s",gut
Robert Lambrou,AfD,['sichere']," Die SPD 
macht das nicht? Wenn man über ein Thema redet, 
ist das schäbig?) 

Zu einer verantwortungsvollen Asyl- und Migrationspolitik 
gehört auch, Antworten zu finden, die nicht einfach sind, 
auc",sichere
Alexander Bauer,CDU,['wichtige']," Na, also!) 

Georgien gehörte 2022 zu den Top 5 der Herkunftsländer 

 Frau Saadet Sönmez, da will ich Ihnen widersprechen , 
und auch Moldau gehört zu den zuzugsstarken Herkunftsländern. 
Das sind",wichtige
Robert Lambrou,AfD,"['wichtig', 'sicheren']"," Frau Hofmann, 
wie stellen Sie sich gegen Menschen, die 

nach Deutschland kommen wollen? Ist das nicht 
menschenverachtend?) 

Was für uns als SPD ganz wichtig und zentral ist: Unabhängig 
davon, da","wichtig, sicheren"
Saadet Sönmez,LINKE,"['sicheren', 'sichere', 'sichere']"," Was 
ist mit den sicheren Herkunftsländern?) 

Denn wir wollen  Frau Sönmez, das ist der Unterschied 
zu Ihnen  für diejenigen, die sagen: Wir werden politisch 
verfolgt, dass dieser Anspruch unv","sicheren, sichere, sichere"
Dimitri Schulz,AfD,['gut']," 

Wertes Präsidium, werte Kollegen! Eines der beiden Länder, 
um die es heute geht, kenne ich sehr gut. Ein Teil 
meiner Familie lebt in Moldawien. Es gibt dort keine Verfolgung 
im Sinne der Genfer ",gut
Turgut Yüksel,SPD,['gut']," Solange sie keine Muslime 
sind!  Gegenruf AfD  Glockenzeichen) 

Aber wenn wir diesen beiden Ländern wirklich helfen wollen, 
dann dürfen wir ihnen gerade die jungen, gut ausgebildeten 
Arbeitstät",gut
Jürgen Frömmrich,GRUENE,"['illegale', 'ausreisepflichtigen', 'illegalen', 'sicheren', 'sicheren', 'sichere', 'sichere', 'sicher']"," Wir reden über Asyl!) 

Das muss sogar die deutsche Gerichtsbarkeit erkennen. 
Daher kommt es, dass so viele illegale Einwanderer hierzulande 
nur geduldet sind. Aber der Duldungsstatus mit Anspruch ","illegale, ausreisepflichtigen, illegalen, sicheren, sicheren, sichere, sichere, sicher"
Robert Lambrou,AfD,"['gute', 'gute']"," Welche Schritte denn?) 

 Ich bin ja noch nicht fertig.  Aber worum geht es Ihnen 
heute eigentlich? Der Kollege Wagner hat auch schon 
darüber nachgedacht. Ich glaube, Sie wollen ein bisschen 
kit","gute, gute"
Yanki Pürsün,FDP,"['notwendig', 'humanitäre']"," Nicht gelesen?) 

Die Diskussion über Flüchtlingsfragen in unserem Land ist 
aber notwendig, nur muss sie eben in der Sache geführt 
werden. 

Wir wollen Verfolgten in Deutschland und in Europa 
Schu","notwendig, humanitäre"
Robert Lambrou,AfD,"['sicheren', 'notwendige']"," Und der Sommer kommt 
erst noch!) 

In Anbetracht der aktuell wieder steigenden Anzahl von 
Asylanträgen ist die Diskussion um eine Ausweitung der 
Liste der sicheren Herkunftsstaaten unumgänglich. I","sicheren, notwendige"
Yanki Pürsün,FDP,"['wichtig', 'wichtig']"," Unglaublich!) 

der erforderlich ist, um die wirklichen Probleme in diesem 
Lande an dieser Stelle zu lösen. 

(Beifall CDU) 

Herr Pürsün, ich will Ihnen sogar noch etwas mit auf den 
Weg geben, näm","wichtig, wichtig"
Yanki Pürsün,FDP,['sichere']," 

Liebe Kolleginnen und Kollegen, Herr Präsident! Ich wundere 
mich, dass CDU und GRÜNE es schaffen, überhaupt 
nicht zum Thema zu reden. 

(Beifall Freie Demokraten) 

Es gibt eine Vorlage im Bundes",sichere
Günter Rudolph,SPD,['abgelehnt']," 
Weil sie Angst haben!) 

Egal, ob es viele oder sehr viele Anträge sind: Wenn 
99 % abgelehnt werden, können wir doch nicht tatenlos 
zuschauen. Wir sehen doch, dass die Landesregierung es 

nicht h",abgelehnt
Volker Richter,AfD,['illegaler']," Hört, hört!) 

Von uns aus gesehen, ist das ein lobenswerter Ansatz, 
wenn er ihn früher und mit dem dazugehörigen Programm 
präsentiert hätte. Aber damit will er offensichtlich bis nach 
der Wahl wa",illegaler
Robert Lambrou,AfD,['sicher']," Sie tun es aber gerade!) 

Wie gesagt, darum kümmern sich bereits die demokratischen 
Parteien. Die AfD braucht man für gar nichts. 

(Beifall SPD) 

Wir haben als SPD-Fraktion einen Antrag zu diesem",sicher
Claudia Ravensburg,CDU,['wichtig']," 

Sehr geehrte Frau Präsidentin, sehr geehrte Kolleginnen 
und Kollegen! Die Erzieherinnen und Erzieher haben in 
den letzten Jahren eine großartige Leistung für unsere Kinder 
erbracht. 

(Zuruf Fre",wichtig
Marcus Bocklet,GRUENE,"['notwendig', 'sicher', 'wichtige', 'wichtig', 'wichtig', 'wichtige', 'gut']"," 

Frau Präsidentin, meine sehr verehrten Damen und Herren! 
Die Einführung der Transparenzdatenbank war aus unserer 
Sicht notwendig, allein schon um die Wohlfahrtsverbände 
schützen zu können. Sie w","notwendig, sicher, wichtige, wichtig, wichtig, wichtige, gut"
Gerhard Schenk,AfD,['sichere']," 

Frau Präsidentin, meine Damen und Herren! Ich will jetzt 
zu dem sprechen, was bisher zu Ihrer Landwirtschaftspolitik 
noch nicht gesagt worden ist. 

Landwirtschaftsförderung praxistauglich und an",sichere
Axel Gerntke,LINKE,['gut']," 

Saadet Sönmez ist auch verhindert. 

Vizepräsident Frank Lortz: 

Die Kollegin Sönmez ist entschuldigt, nehmen wir auch ins 
Protokoll auf. Gibt es weitere Entschuldigungen?  Das ist 
nicht der Fa",gut
Günter Rudolph,SPD,"['gut', 'qualifizierte', 'sicher', 'qualifizierte']"," 

Herr Präsident, meiner sehr verehrten Damen und Herren, 
liebe Kolleginnen und Kollegen! Deutschland braucht in 
den nächsten Jahren viele und gut qualifizierte Fachkräfte. 
Nur so können wir Wohls","gut, qualifizierte, sicher, qualifizierte"
Elke Barth,SPD,"['qualifizierte', 'qualifizierte']"," Lesen Sie doch mal den Gesetzentwurf!) 

um anschließend zu schauen: Wer kann hier eigentlich 
was, und wer kann in ein qualifiziertes Beschäftigungsverhältnis 
gebracht werden? 

Die Qualifikation m","qualifizierte, qualifizierte"
Günter Rudolph,SPD,['gut']," Er hat das Problem erkannt!) 

Bei der ganzen Debatte über den Fachkräftemangel dürfen 
wir nicht aus dem Blick verlieren, dass die Zuwanderung 
nur eine der Stellschrauben ist, um unseren Arbeitsmar",gut
Felix Martin,GRUENE,['gut']," 

Herr Präsident, meine Damen und Herren! Egal ob im 
Handwerk, in der Kita oder in der Pflege: Der Fachkräftemangel 
ist für viele Branchen eine enorme Herausforderung. 
Dabei brauchen wir so dringe",gut
Stefan Naas,FDP,"['gut', 'gut', 'sicher', 'gute', 'wichtige', 'integriert', 'integriert', 'wichtige']"," Da muss er 
selbst lachen!  Weitere Zurufe  Glockenzeichen) 

Was passiert jetzt mit diesem neuen Einwanderungsrecht? 
Damit wird Einwanderung nach Deutschland zum Arbeiten, 
zum Studieren und zum ","gut, gut, sicher, gute, wichtige, integriert, integriert, wichtige"
Stefan Naas,FDP,"['notwendig', 'legale', 'illegale', 'gut', 'notwendig']"," 

Herr Präsident, meine sehr verehrten Damen und Herren! 
Wer heute Morgen eine Begründung dafür gesucht hat, 
warum wir eine neue Bundesregierung nötig hatten, der hat 
sie heute bekommen, nämlich i","notwendig, legale, illegale, gut, notwendig"
Jürgen Frömmrich,GRUENE,"['gut', 'gut']"," 
Was sagt die Frau Wagenknecht dazu?  Gegenruf 
Elisabeth Kula (DIE LINKE)) 

Die angekündigte Ausbildungsgarantie ist nicht einmal das 
Papier wert, auf dem sie steht. Ein Fonds für betriebliche 
A","gut, gut"
